A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
53,225.87894301772087,1.0,0.31265601145525956,50.148715217585114,1.5,0.2325749649982959,211.48460899013799,1.5,0.6669356922060309,296.100763027299,1.0,0.5075819417833837,139.20660293772522,1.0,0.04340772939555883,3.5,4.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,20,Best Policy,dikesnet,389939634.46111226,149184888.60441038,0
121,104.30559284203378,10.0,0.4217037617644944,174.551341200827,1.0,0.3190444347313141,104.21020952278252,10.0,0.4730809427205179,314.8018397465701,1.0,0.5119376840646975,95.5673835225472,1.5,0.7283135439271301,4.5,4.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,21,Best Policy,dikesnet,11342497.18688697,149184888.60441038,0
99,65.28887578620413,10.0,0.13664387843028036,72.40310270798025,10.0,0.8317124877306236,52.63901176511323,10.0,0.7718726452324443,196.55616869940954,1.0,0.6682934095259502,268.63793681847284,1.0,0.10628288490590056,2.5,1.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,22,Best Policy,dikesnet,2578703659.7282662,149184888.60441038,0
107,286.46169357693975,1.5,0.6060983622415985,146.1381037102393,1.0,0.3427263606591017,265.0144566447552,1.5,0.8211664801233937,65.33179044395175,1.5,0.16139433907859624,262.2416637552588,10.0,0.06883382814192421,1.5,3.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,23,Best Policy,dikesnet,80921543.82462965,149184888.60441038,0
83,251.79304554005125,1.5,0.630261053038628,97.90431852631566,1.5,0.53840475504775,55.34714070860285,1.5,0.9728040317025372,135.7148650117916,10.0,0.1722521880722911,114.44692148169985,1.5,0.8328755841359833,3.5,3.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,24,Best Policy,dikesnet,39377630.79120094,149184888.60441038,0
112,211.5397157124072,10.0,0.15574382514904608,139.3699292168757,1.0,0.9199110217716951,108.78723304498074,1.5,0.36142020880280346,273.97527424168277,1.0,0.44845089077256545,207.12679722199874,1.5,0.9913751239254888,4.5,4.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,25,Best Policy,dikesnet,1028588081.9403327,149184888.60441038,0
80,225.21593975348227,1.5,0.9419766629842956,115.1765040979369,1.5,0.9989545919342155,40.37680752518973,10.0,0.7047760880395646,91.51104151844736,10.0,0.4263625491579548,295.8989686005866,1.0,0.42698882050181464,1.5,1.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,26,Best Policy,dikesnet,16085393.90607274,149184888.60441038,0
70,150.55961261055958,1.5,0.38025998034737724,230.4324145796052,10.0,0.3497707710924421,229.17005144766944,1.5,0.19139146201479965,117.86711151064368,10.0,0.7843079429901229,215.7948716001951,1.5,0.6910005781957853,4.5,3.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,27,Best Policy,dikesnet,80390933.33639999,149184888.60441038,0
100,211.8858991216714,1.5,0.44987453745936007,258.2860068249414,1.0,0.8796215652878651,338.55417019171546,1.0,0.8810492232357118,176.1837389898754,1.0,0.4358927927701073,284.51783770073405,10.0,0.5024191721147955,4.5,4.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,28,Best Policy,dikesnet,10858738.515495313,149184888.60441038,0
91,333.61925624417825,1.5,0.6242273303076536,322.89425907621114,1.5,0.08085459855875554,231.84102063590444,10.0,0.2695422357063409,135.04372151199652,1.0,0.5768961010882158,255.27941855064682,10.0,0.6933660557846378,2.5,3.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,29,Best Policy,dikesnet,173273053.5692942,149184888.60441038,0
42,196.8336675971435,10.0,0.24048325532745002,327.8409198972688,10.0,0.532362101839348,59.56893745841172,1.5,0.14126809043654195,235.09702586424424,10.0,0.3700276783214039,75.47927433047394,1.5,0.35470683052140517,1.5,2.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,30,Best Policy,dikesnet,217674235.30875582,149184888.60441038,0
62,332.12600306272554,10.0,0.9458206635791664,208.41478834520296,1.5,0.41812605303093797,264.1327989542457,1.0,0.3095035483613989,94.99729627404423,1.0,0.3512263478946177,99.53423063829527,1.5,0.5239428561117329,1.5,1.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,31,Best Policy,dikesnet,60827165.63650994,149184888.60441038,0
60,30.783660133934806,10.0,0.817148161724238,67.1242026952335,1.0,0.9014246733860192,296.16984764180916,1.0,0.7264008866356991,54.23506366114628,1.5,0.7130690267760706,47.28130321614232,10.0,0.08580610779518257,4.5,1.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,32,Best Policy,dikesnet,182359466.02614126,149184888.60441038,0
14,57.780487780994406,10.0,0.15218915507623984,138.55055364426457,10.0,0.4872600687480137,119.17803518304596,1.5,0.6067260535742709,158.4584646169278,1.5,0.44543129878012705,102.40048440060056,10.0,0.1534520873533369,3.5,4.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,33,Best Policy,dikesnet,1144902252.9923973,149184888.60441038,0
