,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
28,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.5,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44428,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
29,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.7913327598944306,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44429,DikeIncrease_1,dikesnet,119614666.04021117,380502892.142874,0
30,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,56.2159189581871,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44430,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
31,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44431,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
32,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.1926069501787424,220.10502994060516,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44432,DikeIncrease_1,dikesnet,67911351.4274422,380502892.142874,0
33,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,184.07569468021393,10.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44433,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
34,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,1.0,0.8884089635685086,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44434,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
35,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.20495346188545227,2.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44435,DikeIncrease_1,dikesnet,115579116.12201552,380502892.142874,0
36,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,4.5,4.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44436,DikeIncrease_1,dikesnet,90829154.86789584,380502892.142874,0
37,74,72.60015487670898,1.5,0.5254230629652739,82.97009140253067,10.0,0.5589545890688896,180.0575903058052,1.0,0.8371761282905936,107.1644252538681,1.0,0.0777966445311904,220.10502994060516,10.0,0.8884089635685086,2.5,2.5,4.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44437,DikeIncrease_1,dikesnet,129855914.87644404,380502892.142874,0
