Parameter 1,Parameter 2,S2,S2_conf
A.3_Bmax,discount rate 0,0.0007132548552915476,0.0010445920676302642
A.3_Bmax,discount rate 1,0.0007877728433638146,0.0011295619659355972
A.3_Bmax,discount rate 2,0.0007465418112699252,0.001070908665773432
A.3_Brate,A.3_pfail,1.3752366857661125e-05,0.00018923505261080788
A.3_Brate,A.4_Bmax,-2.587915079658564e-05,0.00016138716181568114
A.3_Brate,A.4_Brate,-2.5879603408665333e-05,0.000161387212610497
A.3_Brate,A.4_pfail,-2.5012501077121673e-05,0.0001614277496126533
A.3_Brate,A.5_Bmax,-2.587960340866524e-05,0.000161387212610497
A.3_Brate,A.5_Brate,-2.587960340866524e-05,0.000161387212610497
A.3_Brate,A.5_pfail,-4.804243791916955e-05,0.00016109462885834956
A.3_Brate,discount rate 0,-2.048665223051407e-05,0.00016104995069492716
A.3_Brate,discount rate 1,-2.5470433594791133e-05,0.00016178264959785637
A.3_Brate,discount rate 2,-2.9372252598756747e-05,0.00016081433156020102
A.3_pfail,A.4_Bmax,0.024063807762672248,0.07122825835440132
A.3_pfail,A.4_Brate,0.024036441811345163,0.07123444037504803
A.3_pfail,A.4_pfail,0.02442574755065882,0.0713713954833706
A.3_pfail,A.5_Bmax,0.024055700094499838,0.07123269808135355
A.3_pfail,A.5_Brate,0.024055700094499838,0.07123269808135355
A.3_pfail,A.5_pfail,0.027505837914400973,0.07217822089083138
A.3_pfail,discount rate 0,0.030577398613454224,0.07420977089470289
A.3_pfail,discount rate 1,0.026734349510887562,0.0690054908974919
A.3_pfail,discount rate 2,0.023164274430660478,0.07036064316786832
A.4_Bmax,A.4_Brate,6.940067482558409e-05,0.00021488714837484751
A.4_Bmax,A.4_pfail,9.136124065166167e-05,0.00022233136290723476
A.4_Bmax,A.5_Bmax,6.940054347630554e-05,0.00021488712527596254
A.4_Bmax,A.5_Brate,6.940054347630554e-05,0.00021488712527596254
