A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
88,121.89490379692953,1.0,0.018272177476281983,176.00229332102768,10.0,0.020849627790957212,111.13154727276165,10.0,0.5024512770907966,143.367592915699,10.0,0.46842957102310445,136.41387860163502,10.0,0.2736730680060343,2.5,2.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,68,Best Policy,dikesnet,3036417065.2195654,149184888.60441038,0
99,178.99325929076429,1.5,0.8451437049169186,127.96459850406079,1.5,0.16208783667349133,264.5382503634148,1.5,0.5382006392084451,163.15012809031958,10.0,0.10635508509391077,318.1231007134989,1.0,0.7191200233397841,3.5,1.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,69,Best Policy,dikesnet,117586218.10861816,149184888.60441038,0
32,41.495128426227396,1.0,0.3184587942693067,203.74355550541748,1.0,0.6596674700662798,159.47906573329482,1.5,0.11349677626749821,200.01163772931946,10.0,0.8928345160783928,87.23013372783431,1.0,0.06989951286236916,3.5,3.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,70,Best Policy,dikesnet,340140748.7979112,149184888.60441038,0
76,249.04352364988196,10.0,0.1089222639700262,179.5133509200809,1.5,0.37489012213857165,198.3053728476881,1.5,0.5642680413555142,212.06436715621524,10.0,0.9832319142643106,303.44211945575034,1.0,0.37931871896188313,4.5,2.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,71,Best Policy,dikesnet,2203059881.793779,149184888.60441038,0
100,141.95207395062823,1.5,0.7880913495626025,82.90841147165649,1.0,0.3287470919481325,54.18123086830578,1.5,0.3754872983188733,80.43233507251426,10.0,0.8760571823332216,222.84375473213376,10.0,0.9061996023894956,3.5,2.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,72,Best Policy,dikesnet,11662801.986467244,149184888.60441038,0
51,53.97207076247458,10.0,0.7654224034320964,30.389723412763786,1.5,0.07709517045518346,58.16445311120782,1.0,0.11229927004546697,38.35318999348613,1.0,0.029431397442406335,96.27960515338994,1.5,0.2509121875667595,2.5,4.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,73,Best Policy,dikesnet,174083252.23927614,149184888.60441038,0
95,340.3653995695348,1.0,0.8526980082620194,70.29464071461933,1.5,0.7888950983172587,330.44950468783037,1.5,0.9879330108063207,174.4756387714795,10.0,0.8425921066401038,172.39229262525768,10.0,0.18676954771527668,1.5,4.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,74,Best Policy,dikesnet,69346216.64375831,149184888.60441038,0
65,320.5235723219539,10.0,0.196311746680762,195.6225892727622,1.5,0.6965976669620219,221.15310648025925,1.0,0.21861163699960853,244.7504701757622,10.0,0.36583961814466975,286.30502798628515,1.5,0.04611239061394762,1.5,4.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,75,Best Policy,dikesnet,549398935.9836307,149184888.60441038,0
30,167.7803007936389,1.0,0.8533093433192803,38.85393443797322,1.5,0.5986993772911193,40.63376312752359,10.0,0.5735231597346304,200.94971210969007,10.0,0.29865881767575936,341.2168851286492,1.5,0.217794108373265,2.5,1.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,76,Best Policy,dikesnet,79749715.23494305,149184888.60441038,0
39,305.30864376846074,1.5,0.6582776418944841,158.17598386263313,1.0,0.9397754428572161,70.99489400523944,1.0,0.5814244999244069,226.022392238641,1.5,0.44197301138575923,149.8511525541486,10.0,0.9647127336020542,1.5,2.5,3.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,77,Best Policy,dikesnet,9271660.267323554,149184888.60441038,0
86,274.5728228038098,1.5,0.854309276041871,163.53737613145955,1.5,0.7773370307088013,137.8918548275916,1.5,0.5875825060668208,81.57860332380386,1.5,0.29186104731721535,282.96995470309326,1.0,0.7826731954508118,2.5,3.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,78,Best Policy,dikesnet,7346131.546075132,149184888.60441038,0
17,215.53235588868264,1.0,0.20560463577715662,192.45399072649096,10.0,0.7636877160080692,256.62022089154397,1.0,0.9258730997797995,224.0359079644098,1.0,0.43817926779403227,50.198976548857615,1.5,0.5265984375980061,2.5,4.5,1.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,79,Best Policy,dikesnet,236914435.75491023,149184888.60441038,0
44,93.02413109256824,1.0,0.7667093874279138,296.41509351675444,1.5,0.29450263602666155,254.8699223279113,1.0,0.355839831496675,279.13692579518613,1.0,0.24872494779222498,91.86088872147462,1.5,0.7502116881436147,4.5,2.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,80,Best Policy,dikesnet,38842242.868650526,149184888.60441038,0
14,97.32422763864253,1.5,0.7752542370822089,152.301696525621,1.5,0.3706253318392016,106.78436260319921,1.0,0.03004025175597299,158.73681964178726,1.0,0.22236987016989893,181.98457584507125,10.0,0.09108032911369768,4.5,4.5,2.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,81,Best Policy,dikesnet,822924093.9871697,149184888.60441038,0
24,247.51761081297747,1.5,0.7137437443742692,186.12437714065973,10.0,0.8118667118426707,231.06794965627097,10.0,0.8173610865066925,190.3394650402578,10.0,0.1339405326283003,31.974280035369226,1.5,0.7629476149927139,2.5,1.5,4.5,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,82,Best Policy,dikesnet,60736873.640293,149184888.60441038,0
